fabric_id,name,features,applications,selling_points,category,suitable_brand_types,weight,composition
TS25142,120克防透双面,遮热性能41.6%、超薄防透、防透达到92%以上，达到日本标准；、高倍数防晒：UPF200+；，全波段隔离、吸湿速干大幅优于国标；易去污；、透气,防晒服、T恤,遮热性能41.6%；超薄防透、防透达到92%以上，达到日本标准；；高倍数防晒：UPF200+；，全波段隔离,防晒防透类,"户外,运动休闲",120g/m²,100%聚酯纤维
TP25178,特密克隆棉,高针数织造，紧密有形，针织纺梳织效果；、免烫抗皱易打理；、吸湿速干；、防晒UPF50+,服装,防晒UPF50+,防晒类,"户外,运动休闲",100g/m²,100%聚酯纤维
C23182,单经平,特纺纱经编织造，挺括、布纹紧致；、瞬间接触凉感。、可做polo衫，裤子，防晒服。、此面料被高端运动品牌使用。,裤子、防晒服、polo,此面料被高端运动品牌使用。,防晒类,"户外,运动休闲",180g/m²,75%锦纶+25%氨纶
2533,克隆棉双面,棉感、吸湿速干。、SORONA无氨弹性，具有弹性和还原力。,裤子、潮牌T恤、外套、T恤,功能面料,弹力亲肤类,"户外,时尚,运动休闲",220g/m²,100%聚酯纤维
C25145,涤氨经编格仔,有组织感的提花织造；、具有丰富弹性和还原力；、耐磨，抗皱，吸湿速干。,POLO、长裤、百褶裙、连衣裙,功能面料,弹力类,运动休闲,240g/m²,90%涤+10%氨纶
TS25166,双面横纹布,航空专利纱线织造，超强防透及抗uv效果，UPF100+；、轻量松软，布面洁净高档；、吸湿速干，易打理。、横纹纹路，风格时尚。,服装,航空专利纱线织造，超强防透及抗uv效果，UPF100+；,防晒类,"时尚,运动休闲",135g/m²,100%聚酯纤维
C25377,涤氨提花布,有组织感的提花棉感材质面料织造；、质感亲肤，与皮肤接触时无负担；、具有丰富弹性和还原力。、轻量化,服装,功能面料,弹力亲肤类,运动休闲,240g/m²,7.4%氨纶+92.6%聚酯纤维
C25318,涤氨无光细横条,有组织感的提花织造；、具有丰富弹性和还原力；、耐磨，抗皱，吸湿速干。,长裤、连衣裙、百褶裙、圆领T、POLO,功能面料,弹力类,运动休闲,180g/m²,86%聚酯纤维+14%氨纶
C25330,阳涤华夫格,有组织感的提花棉感材质面料织造；、质感亲肤，与皮肤接触时无负担；、具有丰富弹性和还原力；、单向导湿科技，骨头鸟高端面料。,秋冬贴肤打底保暖T恤、T恤、打底,单向导湿科技，骨头鸟高端面料。,保暖类,"内衣家居,户外,运动休闲",140g/m²,100%聚酯纤维
TT25356,全涤小珠地,有组织感的提花棉感材质面料织造；、质感亲肤，与皮肤接触时无负担；、具有丰富弹性和还原力。,圆领T、Polo衫,功能面料,弹力亲肤类,"运动休闲,童装",180g/m²,100%聚酯纤维
